ID,designation_header,strain_number_header,is_type_strain_header,species,Cell length (µm),Cell Width (µm),Cell Shape,Reference,NCBI ID
133435.0,CL-UU02,"KCCM 42323, JCM 15426, DSM 21314",1.0,Pelagibius litoralis,1.85,0.75,rod-shaped,28965.0,374515
134247.0,YM14-201,"MBIC 08272, IAM 15421, KCTC 13124",1.0,Pelagicoccus albus,1,1,coccus-shaped,32104.0,415222
134295.0,N5FB36-5,"MBIC 08283, KCTC 12903",1.0,Pelagicoccus croceus,0.75,0.75,coccus-shaped,32304.0,431270
134248.0,H-MN57T,"MBIC 08273, IAM 15423, KCTC 13125",1.0,Pelagicoccus litoralis,1.1,1.1,coccus-shaped,32104.0,415223
134246.0,02PA-Ca-133,"MBIC 08004, IAM 15422, KCTC 13126",1.0,Pelagicoccus mobilis,0.6,0.6,coccus-shaped,32104.0,415221
13847.0,CL-ES2,"DSM 18290, KCCM 42274",1.0,Pelagicola litoralis,1.2-1.8,0.5-0.9,coccus-shaped,32633.0,420403
23243.0,"SH4-1, SH4_1","DSM 23678, CIP 110297, LMG 26343",1.0,Pelagimonas varians,2.025,0.7,rod-shaped,30630.0,696760
158524.0,S5,"KCTC 33632, CGMCC 1.15177",1.0,Pelagirhabdus alkalitolerans,1.0-1.2,0.3-0.4,rod-shaped,23028.0,
159840.0,BH-SD19,"CCTCC AB 2017074, KCTC 62202",1.0,Pelagivirga sediminicola,1.0-2.0,0.5-1.0,rod-shaped,66729.0,
4225.0,KM,"DSM 18267, ATCC BAA 1388, CIP 109818",1.0,Pelobacter seleniigenes,2,0.5,rod-shaped,32113.0,407188
133247.0,,"YS-25, KCTC 52203, CCTCC AB 2016051",1.0,Pelobium manganitolerans,1.0-2.0,0.35-0.5,rod-shaped,25135.0,
134273.0,,"CCUG 52575, KCTC 42961, CECT 7233",1.0,Pelomonas aquatica,2,0.5,rod-shaped,32220.0,
134272.0,,"CECT 7234, CCUG 52769",1.0,Pelomonas puraquae,2,0.5,rod-shaped,32220.0,431059
133737.0,SHI-1,"NRRL Y-59407, LMG 25549",1.0,Pelosinus defluvii,4.5,0.8,rod-shaped,30339.0,1076412
11836.0,MGP,"DSM 15578, JCM 11929",1.0,Pelotomaculum propionicicum,3,1,rod-shaped,32076.0,258475
11835.0,HH,"DSM 15200, ATCC BAA 615",1.0,Pelotomaculum schinkii,2.25,1,rod-shaped,30047.0,78350
5415.0,al-2,"DSM 3953, ATCC 49065",1.0,Peptoclostridium acidaminophilum,2.0-8.0,0.5-1.5,curved-shaped,25060.0,1286171
2741.0,W6,"DSM 5388, ATCC 49638",1.0,Peptoclostridium litorale,2.0-8.0,0.5-1.5,curved-shaped,25060.0,1557
133028.0,M108,"DSM 100347, VKM B-2932",1.0,Peptococcus simiae,1.1-1.4,,coccus-shaped,25108.0,1643805
132525.0,M6.X2D,"DSM 29874, CCUG 66798",1.0,Peptoniphilus catoniae,1-5.3,1-2,coccus-shaped,43660.0,1660341
11847.0,W2278,"DSM 17678, CCUG 51858, JCM 15636",1.0,Peptostreptococcus stomatis,0.8-0.9,0.8,coccus-shaped,31678.0,341694
134235.0,Shu-F-UV2-2,"MBIC 06993, IAM 15413, KCTC 12867",1.0,Perexilibacter aurantiacus,15,0.4,rod-shaped,32036.0,406515
140543.0,BK296,"KCTC 52162, JCM 31377",1.0,Perlucidibaca aquatica,1.0-1.6,0.5-0.7,rod-shaped,43331.0,
8209.0,,"DSM 21586, KCCM 42363, NBRC 102354, IMCC 1704",1.0,Perlucidibaca piscinae,0.95,0.6,rod-shaped,32149.0,392589
515.0,Ex-H1T,"DSM 14350, OCM 794",1.0,Persephonella marina,2-4,0.3-0.4,rod-shaped,23129.0,123214
17212.0,YM20-087,"DSM 22463, KCTC 22039, MBIC 08313, YM20-087",1.0,Persicirhabdus sediminis,1.25,0.65,rod-shaped,32455.0,1122952
134231.0,Shu-9-SY12-35C,"MBIC 07417, IAM 15412, KCTC 12866",1.0,Persicitalea jodogahamensis,4.5,0.4,rod-shaped,32004.0,402147
133569.0,Asr22-19,"NBRC 101262, CIP 109100",1.0,Persicobacter psychrovividus,0.9-6,0.4-0.6,rod-shaped,29572.0,387638
132467.0,ING2-E5A,"DSM 28695, CECT 8611",1.0,Petrimonas mucosa,0.9-3.4,0.7-1.2,rod-shaped,43716.0,1642646
12503.0,BN3,"DSM 16547, JCM 12565",1.0,Petrimonas sulfuriphila,1.75,0.85,rod-shaped,31375.0,285070
158360.0,SK-Y3,"DSM 103557, ACCC 19952",1.0,Petroclostridium xylanilyticum,2.5-8,0.4-0.8,rod-shaped,66689.0,1792311
141042.0,ANA,"NBRC 112621, DSM 105015",1.0,Petrothermobacter organivorans,1.5-5.0,0.6-0.7,rod-shaped,43922.0,1856807
17051.0,MET-B,"DSM 16923, CCUG 50214",1.0,Petrotoga halophila,23.5,0.6,rod-shaped,31847.0,301141
17048.0,,"DSM 14811, CIP 107371, MET met12",1.0,Petrotoga mexicana,1.4-5.0,0.5-0.7,rod-shaped,29933.0,204046
13731.0,T5,"DSM 16374, CIP 109289, LMG 22475",1.0,Phaeobacter inhibens,1.4-1.9,0.6-0.8,ovoid-shaped,31517.0,999548
13848.0,,"DSM 26436, CCUG 55857, LMG 24365",1.0,Phaeobacter italicus,1.8,0.9,rod-shaped,28962.0,481446
158275.0,27-4,"DSM 103509, LMG 29708",1.0,Phaeobacter piscinae,1.7-2.4,0.7-1.1,rod-shaped,65413.0,481446
140086.0,P97,"DSM 103148, LMG 29594",1.0,Phaeobacter porticola,1.2-2.5,0.8-1.4,,43321.0,1844006
133546.0,JA418,"KCTC 5717, NBRC 105221",1.0,Phaeochromatium fluminis,4.5,0.8,rod-shaped,29448.0,560361
133692.0,PG2S01,"CCTCC AB 209288, LMG 25704, MCCC 1F01079",1.0,Phaeocystidibacter luteus,1.25,0.3,rod-shaped,30174.0,911197
133507.0,JA145,"JCM 14933, KCTC 5703, NBRC 104961",1.0,Phaeospirillum chandramohanii,7,0.9,spiral-shaped,29230.0,461391
133722.0,JA492,"NBRC 107650, KCTC 15012",1.0,Phaeospirillum tilakii,4,0.65,spiral-shaped,30276.0,741673
14026.0,JA480,"DSM 23193, KCTC 5825, NBRC 106163",1.0,Phaeovibrio sulfidiphilus,1.85,0.4,rod-shaped,29697.0,643956
17791.0,SBKo 001,"DSM 21295, NCCB 100230",1.0,Phaselicystis flava,7,1.25,rod-shaped,29011.0,525924
23016.0,,"DSM 27043, ATCC 12775, CFBP 3281, ICMP 745, LMG 2187, NCPPB 539, CCUG 32859",1.0,Phaseolibacter flectens,1.75,1.3,rod-shaped,30332.0,1336237
140629.0,W2-3-4,"LMG 28593, KACC 18306",1.0,Phenylobacterium aquaticum,2.5-4.0,0.4-0.6,rod-shaped,43157.0,1763816
2348.0,4T-6,"DSM 19425, KACC 12597",1.0,Phenylobacterium composti,0.8-1.8,0.5,rod-shaped,32464.0,1122958
158279.0,NCCP-697,"DSM 103871, CCTCC AB 2016297, YIM 73061",1.0,Phenylobacterium deserti,1.4-2.9,0.6-1.7,rod-shaped,65414.0,1914756
158580.0,HKS-05,"KACC 18628, LMG 30081",1.0,Phenylobacterium hankyongense,0.8-1,0.2-0.3,rod-shaped,65289.0,
2339.0,E,"DSM 1986, ATCC 35973, NCIB 12055",1.0,Phenylobacterium immobile,1.0-2.0,1.0-2.0,,,21
2343.0,Slu-01,"DSM 17809, IAM 15119, JCM 21577, KCTC 12206, NBRC 102285",1.0,Phenylobacterium koreense,1.5,0.85,rod-shaped,31497.0,266125
2342.0,FaiI3,"DSM 14363, ATCC BAA 294",1.0,Phenylobacterium lituiforme,2,0.5,rod-shaped,31252.0,273793
2349.0,A8,"DSM 26616, KACC 15042, LMG 25973",1.0,Phenylobacterium muchangponense,0.7-1.3,0.5-0.6,ovoid-shaped,30056.0,760012
140825.0,,"KCTC 42749, JCM 31045, DCY 109",1.0,Phenylobacterium panacis,0.4-1.3,0.4-0.5,rod-shaped,43618.0,
18135.0,7401987,"DSM 21584, CCUG 55929, CSUR P22",1.0,Phocaeicola abscessus,0.4-0.9,0.3-0.6,coccus-shaped,29169.0,1204719
17648.0,HB-8,"DSM 24425, EPRHB-8, JCM 17384",1.0,Phorcysia thermohydrogeniphila,1.25,0.5,rod-shaped,30419.0,936138
140486.0,P03D4,"KCTC 52365, MCCC 1K03200, CGMCC 1.15764",1.0,Photobacterium alginatilyticum,2.3-3.4,1.2-1.3,rod-shaped,43252.0,1775171
134148.0,GMD509,"KCTC 12383, JCM 12948",1.0,Photobacterium aplysiae,2.5,0.65,rod-shaped,31538.0,299462
17232.0,SL13,"DSM 21158, JCM 12947, KCTC 12384",1.0,Photobacterium frigidiphilum,3.05,1.15,rod-shaped,31335.0,264736
23340.0,Gung47,"DSM 26887, CCUG 58399, KCTC 22804",1.0,Photobacterium gaetbulicola,01-05,0.4-1,rod-shaped,29610.0,658445
17233.0,FR1311,"DSM 22954, IMSNU 60287, JCM 12487, KCTC 12328",1.0,Photobacterium ganghwense,1.3-2,0.8-1.2,ovoid-shaped,31562.0,320778
17226.0,MACL 01,"DSM 18316, CECT 5860, LMG 22194",1.0,Photobacterium halotolerans,1.7,0.7,rod-shaped,31710.0,265726
130749.0,"R-2567, UFRJ R-789","DSM 100339, CAIM 1817, LMG 25436",1.0,Photobacterium jeanii,2-2.5,01-02,ovoid-shaped,29747.0,858640
17234.0,DF-42,"DSM 21778, JCM 13586, KCTC 12723",1.0,Photobacterium lutimaris,1.8,1.1,ovoid-shaped,31877.0,388278
140479.0,43082,"KCTC 42764, CGMCC 1.14970",1.0,Photobacterium proteolyticum,2.0-2.5,1.0-2.0,rod-shaped,43223.0,1903952
158680.0,H01100410B,"CECT 9189, LMG 29991",1.0,Photobacterium toruni,2.3-3.3,0.6-1.1,,65415.0,
5048.0,3107,"DSM 19724, NCAIM B 02271",1.0,Photorhabdus cinerea,02-07,1,rod-shaped,31185.0,471575
133380.0,PB45.5,"LMG 29915, CCM 8729, DSM 104082",1.0,Photorhabdus namnaonensis,2,1,rod-shaped,25251.0,
159733.0,S-12,"KACC 18497, JCM 31612",1.0,Phreatobacter cathodiphilus,1.4-2.2,0.9-1,rod-shaped,66638.0,1868589
140727.0,YC6-17,"KCTC 52518, DSM 103734",1.0,Phreatobacter stygius,1.3-2.3,0.6-0.8,rod-shaped,43504.0,1940610
132430.0,JP6SC6,"DSM 100020, CGMCC 4.7300",1.0,Phycicoccus endophyticus,1.2-2,0.5-0.8,rod-shaped,43741.0,1690220
133241.0,,"DCY 87, KCTC 39635, JCM 31016",1.0,Phycicoccus ginsengisoli,1.0-2.1,0.5-0.6,rod-shaped,25082.0,1462998
134109.0,,"CECT 5680, LMG 22520, CSC 19",1.0,Phyllobacterium catacumbae,1.15,0.55,rod-shaped,31361.0,281785
158802.0,Tri-48,"LMG 30371, RCAM 03910",1.0,Phyllobacterium zundukense,0.9-3.5,0.5-0.9,rod-shaped,65563.0,
158583.0,,"CNCTC 5729, ATCC 27989",1.0,Phytobacter ursingii,0.9-1.2,0.6-0.7,rod-shaped,65294.0,
141030.0,SAP-32,"KCTC 52619, DSM 104039",1.0,Pigmentiphaga aceris,1.6-2.3,0.8-0.9,rod-shaped,43913.0,1940612
360.0,K110,"DSM 23373, JCM 14330, KCTC 12838, CCUG 56486",1.0,Pigmentiphaga daeguensis,0.7-2.5,0.3-0.6,rod-shaped,23274.0,414049
357.0,K24,"CCUG 47266, CIP 108234, DSM 13608, NCIMB 13708",1.0,Pigmentiphaga kullae,1.3-4,0.7-1.2,rod-shaped,23273.0,151784
361.0,,"DSM 19789, CCTCC AA 207034, KCTC 22165, JSM 061001",1.0,Pigmentiphaga litoralis,1.0-2.5,0.5-0.8,rod-shaped,23275.0,516702
158823.0,E9,"KEMB 9005-534, KACC 19120, NBRC 112686",1.0,Pinisolibacter ravus,2.4-3.6,0.9-1.8,rod-shaped,65587.0,
1544.0,RBU1-1,"DSM 21622, JCM 13188, PCU 270, TISTR 1571",1.0,Piscibacillus salipiscarius,2.75,0.45,rod-shaped,32088.0,1294022
17958.0,,"DSM 19915, IMCC 1728, KCCM 42364, NBRC 102349",1.0,Piscinibacter aquaticus,1.35,0.55,rod-shaped,32241.0,392597
159877.0,MQ-18,"CCTCC AB 2017223, JCM 32138",1.0,Piscinibacter caeni,1.9-2.7,0.5-0.75,rod-shaped,66628.0,1861917
133221.0,,"SH-1, KACC 18594, JCM 31230",1.0,Piscinibacter defluvii,1.8-2.1,0.7-0.8,rod-shaped,25008.0,
133289.0,,"LYH-15, BCRC 80969, LMG 29480, KCTC 52168",1.0,Piscinibacterium candidicorallinum,0.8-1.0,0.4-0.5,rod-shaped,25086.0,1793872
133415.0,,"LMG 28835, KCTC 42657, BCRC 80901",1.0,Planctobacterium marinum,2.5-4.5,0.8-1.0,rod-shaped,25260.0,1631968
24527.0,,"DSM 22400, JCM 18269, RCA 23",1.0,Planktomarina temperata,2.15,0.85,rod-shaped,31138.0,666509
141082.0,X14M-14,"CGMCC 1.12924, KCTC 42675",1.0,Planktosalinus lacus,1.4-3.2,0.4-0.8,rod-shaped,43981.0,
140733.0,,"KACC 18009, NBRC 110393, IMCC 9565",1.0,Planktotalea arctica,2.2-2.8,0.8-1.0,rod-shaped,43512.0,
13865.0,"SH6-1, SH6_1","DSM 23709, LMG 25294",1.0,Planktotalea frisia,2.25,0.7,rod-shaped,30328.0,696762
158280.0,,"DSM 104669, JCM 31859, JAM 119",1.0,Planktotalea lamellibrachiae,2.0-3.5,2.0-3.5,,,
159841.0,,"CGMCC 1.13628, KCTC 43001, SCU 63",1.0,Planococcus halotolerans,0.4-1.6,0.4-0.6,rod-shaped,66733.0,
11960.0,ISL-16,"DSM 23820, CCUG 57753, KCTC 13584",1.0,Planococcus salinarum,2.9,0.6,rod-shaped,29437.0,622695
133091.0,L10.15,"DSM 101994, KACC 18918",1.0,Planococcus versutus,1.0-1.5,1.0-1.5,coccus-shaped,25288.0,1302659
24327.0,ISL-41,"DSM 27642, CCUG 56756, KCTC 13261",1.0,Metaplanococcus flavidus,1,0.6,coccus-shaped,29236.0,569883
16584.0,A-T 0875,"DSM 45570, BCC 24832, NBRC 104272",1.0,Planotetraspora kaengkrachanensis,0.8-3,0.4-1,ovoid-shaped,29608.0,575193
16585.0,A-T 1383,"DSM 45571, BCC 26045, NBRC 104273",1.0,Planotetraspora phitsanulokensis,0.8-3,0.4-1,ovoid-shaped,29608.0,575192
24761.0,YD,"DSM 25287, NCCB 100398",1.0,Plasticicumulans lactativorans,3.5,3.25,coccus-shaped,31063.0,1133106
24763.0,,"DSM 25350, CIP 110343, MOLA 115",1.0,Pleionea mediterranea,2.2,0.34,rod-shaped,30835.0,523701
133341.0,,"DSM 103077, JCM 31475, KU714929, SEBR 4223",1.0,Pleomorphochaeta caudata,0.5-0.95,,pleomorphic-shaped,25202.0,1806370
158357.0,,"DSM 104684, JCM 31871, SEBR 4209",1.0,Pleomorphochaeta naphthae,0.4-1.8,,sphere-shaped,66757.0,1895020
23098.0,R5-392,"DSM 25022, KACC 16233",1.0,Pleomorphomonas diazotrophica,2,0.45,rod-shaped,30794.0,1166257
7227.0,Y9,"DSM 23070, KCTC 12246, NBRC 100803",1.0,Pleomorphomonas koreensis,1.5-3,0.3-0.5,rod-shaped,31419.0,257440
7226.0,F-7,"DSM 16300, IAM 15079",1.0,Pleomorphomonas oryzae,3,0.75,rod-shaped,31363.0,261934
5627.0,DSW-5,"DSM 17204, CIP 109304",1.0,Polaribacter dokdonensis,0.8-5,0.4-0.6,rod-shaped,31566.0,1300348
133261.0,,"RA4-7, KCTC 52418, NBRC 112383",1.0,Polaribacter haliotis,0.3-10.0,0.3-10.0 µ,,,1888915
141043.0,OITF-22,"KCTC 52658, NBRC 112706",1.0,Polaribacter insulae,0.3-10.0,0.2-0.6,ovoid-shaped,43923.0,
133370.0,,"HMF2268, KCTC 42191, CECT 8862",1.0,Polaribacter lacunae,1.7-2.0,0.6-1.0,rod-shaped,25238.0,1517763
140599.0,OITF-11,"KCTC 52500, NBRC 112457",1.0,Polaribacter litorisediminis,0.4-10.0,0.4-10.0 µ,,,1908341
133198.0,,"RZW3-2, JCM 30825, KCTC 42664, MCCC 1K00696",1.0,Polaribacter marinaquae,1.5-2.7,0.4-0.5,rod-shaped,24996.0,1642819
133846.0,LNM-20,"LMG 26671, NBRC 108759",1.0,Polaribacter porphyrae,1.39,0.37,rod-shaped,30663.0,1137780
133931.0,,"KCTC 23670, JCM 18092, KOPRI 21160",1.0,Polaribacter sejongensis,2.9,0.6,rod-shaped,30902.0,985043
158689.0,10Alg 139,"KCTC 52773, KMM 6729",1.0,Polaribacter staleyi,1.1-2.5,0.3-0.4,rod-shaped,65426.0,
158681.0,WS2-14,"KCTC 52275, MCCC 1H00163",1.0,Polaribacter tangerinus,0.4-1.6,0.4-1.6,,,
2985.0,Cr4-35,"DSM 24278, KACC 15090, LMG 26050",1.0,Polaromonas cryoconiti,1.1-1.4,0.7-0.9,rod-shaped,23091.0,866565
140826.0,B717-2,"CGMCC 1.15322, JCM 31171",1.0,Polaromonas eurypsychrophila,1.8-2,0.71-0.77,rod-shaped,43620.0,
158788.0,,"LMG 23393, KCTC 12577, Gsoil 115",1.0,Polaromonas ginsengisoli,1.2-3.0,0.4-1,rod-shaped,65544.0,
2986.0,Cr4-12,"DSM 24062, KACC 15089, LMG 26049",1.0,Polaromonas glacialis,0.8-1.0,0.6-0.8,coccus-shaped,23091.0,866564
2983.0,,"DSM 17735, CIP 109586, NRRL B-41369",1.0,Polaromonas hydrogenivorans,0.8-2.8,,coccus-shaped,23089.0,335476
2984.0,JS12-13,"DSM 19351, KACC 12508",1.0,Polaromonas jejuensis,1.0-3.0,0.6,rod-shaped,23090.0,1321608
2982.0,CJ2,"DSM 15660, ATCC BAA 779, CCUG 51246",1.0,Polaromonas naphthalenivorans,1.0-4.0,,coccus-shaped,23088.0,365044
133209.0,,"In2-9, JCM 30831, NCIMB 14982",1.0,Polygonibacillus indicireducens,1.6-6.4,0.4-0.8,rod-shaped,25014.0,
133374.0,B555-2,"CGMCC 1.15519, KCTC 52396",1.0,Polymorphobacter glacialis,1.0-1.3,0.6-0.7,rod-shaped,25242.0,1614636
8025.0,TT97-42,"DSM 44947, NBRC 101157",1.0,Polymorphospora rubra,0.8-1.5,0.6-0.9,rod-shaped,31682.0,338584
2079.0,MWH-PoolGreenA3,"DSM 21994, CIP 110079",1.0,Polynucleobacter acidiphobus,0.5-1.4,0.4-0.5,rod-shaped,23164.0,556053
158281.0,MWH-K35W1,"DSM 24006, LMG 29706",1.0,Polynucleobacter aenigmaticus,0.5-1,0.3-0.5,rod-shaped,65280.0,1743164
2068.0,QLW-P1DMWA-1,"DSM 18221, CIP 109841",1.0,Polynucleobacter asymbioticus,0.7-1.2,0.4-0.5,rod-shaped,43586.0,312153
158405.0,MWH-Feld-100,"DSM 24007, LMG 29705",1.0,Polynucleobacter campilacus,0.5-2.4,0.3-0.7,rod-shaped,66620.0,1743163
2076.0,MWH-MoIso2,"DSM 21490, CIP 109840, LMG 25212",1.0,Polynucleobacter cosmopolitanus,0.5-1.4,0.3-0.5,rod-shaped,23163.0,351345
2081.0,AM-8B5,"DSM 22349, CIP 110078",1.0,Polynucleobacter difficilis,0.6-1.8,0.4-0.5,rod-shaped,23166.0,556054
2071.0,MWH-MoK4,"DSM 21495, CIP 110977",1.0,Polynucleobacter duraquae,0.9-2.9,0.4-0.5,rod-shaped,43586.0,1835254
158406.0,MWH-EgelM1-30-B4,"DSM 23911, LMG 30144",1.0,Polynucleobacter hirudinilacicola,0.5-1.2,0.3-0.5,rod-shaped,66620.0,1743166
158668.0,AP-Melu-1000-B4,"DSM 103591, CIP 111329",1.0,Polynucleobacter meluiroseus,0.8-2.1,0.3-0.6,rod-shaped,65397.0,
2080.0,MT-CBb6A5,"DSM 21648, CIP 109928",1.0,Polynucleobacter rarus,0.8-1.8,0.6-0.8,rod-shaped,23165.0,556055
2069.0,MWH-HuW1,"DSM 21492, CIP 110978",1.0,Polynucleobacter sinensis,0.6-1.4,0.4-0.5,rod-shaped,43586.0,1743157
140723.0,MWH-Weng1-1,"CIP 111099, DSM 24018",1.0,Polynucleobacter sphagniphilus,0.6-1,0.3-0.5,rod-shaped,43501.0,
2072.0,MWH-VicM1,"DSM 21486, JCM 32005",1.0,Polynucleobacter victoriensis,0.4-1.1,0.3-0.5,rod-shaped,44087.0,2049319
133074.0,QLW-P1FAT50C-4,"DSM 24008, CIP 111100",1.0,Polynucleobacter wuianus,0.6-1.7,0.3-0.6,rod-shaped,25203.0,1743168
2070.0,MWH-JaK3,"DSM 21493, CIP 110976",1.0,Polynucleobacter yangtzensis,0.5-1.5,0.3-0.5,rod-shaped,43586.0,1743159
13856.0,GRP21,"DSM 21219, KCTC 22497",1.0,Pontibaca methylaminivorans,0.9-1.6,0.7-1.3,ovoid-shaped,29756.0,515897
1386.0,BH030062,DSM 16287,1.0,Pontibacillus chungwhensis,2.3-3.0,0.6-0.9,rod-shaped,23017.0,265426
1388.0,,"DSM 19796, CCTCC AA 207029, KCTC 13190, JSM 076056",1.0,Pontibacillus halophilus,3.5-4.0,0.6-0.9,rod-shaped,23019.0,516704
1389.0,,"DSM 21186, KCTC 13237, JSM 072002",1.0,Pontibacillus litoralis,3.5-5.0,0.4-0.8,rod-shaped,23020.0,1385512
1387.0,BH030004,"DSM 16465, KCTC 3917",1.0,Pontibacillus marinus,3.3-4.0,0.4-0.9,rod-shaped,23018.0,273164
133153.0,,"9DM, KCTC 33742, LMG 29102, CGMCC 1.15353",1.0,Pontibacillus salipaludis,1.0-1.6,0.3-0.9,rod-shaped,24924.0,1697394
23884.0,,"DSM 18820, CCTCC AB 206086, KCTC 12758, AKS 1",1.0,Pontibacter akesuensis,1.5-1.6,0.7-0.75,rod-shaped,31959.0,388950
140146.0,9-2,"DSM 27987, CGMCC 1.12749, JCM 19653, MCCC 1K00278",1.0,Pontibacter amylolyticus,1-1.2,0.6-1,rod-shaped,43688.0,1424080
140569.0,NP1,"MCC 2931, CCM 8697, KCTC 42943",1.0,Pontibacter aurantiacus,0.9-1.5,0.6-1.2,rod-shaped,43200.0,1697944
133259.0,XAAS-1,"XAAS-1, CCTCC AB 2016134, JCM 31442, DSM 103222",1.0,Pontibacter aydingkolensis,0.8-1.2,0.8-1.2,,,1911536
158763.0,XAAS-2,"CCTCC AB 2016135, JCM 31443",1.0,Pontibacter brevis,0.6,0.3-0.4,ovoid-shaped,65516.0,
134343.0,X14-1,"CCTCC AB 206081, NRRL B-51097",1.0,Pontibacter korlensis,2.4,0.65,rod-shaped,32547.0,400092
133147.0,,"YKTF-7, KCTC 52252, NBRC 112298",1.0,Pontibacter litorisediminis,0.5-4.0,0.5-4.0,,,1846260
133827.0,DM9,"CCM 7955, MTCC 11079",1.0,Pontibacter lucknowensis,2.2,0.65,rod-shaped,30615.0,1077936
132973.0,PB3,"DSM 100162, KCTC 42942",1.0,Pontibacter mucosus,1.0-1.4,0.3-0.7,rod-shaped,43975.0,1649266
133609.0,NII-0905,"NCIM 5339, CCTCC AA 209057",1.0,Pontibacter niistensis,1-2.8,0.5-0.6,rod-shaped,29745.0,634884
134034.0,JC130,"KCTC 23982, LMG 26962",1.0,Pontibacter odishensis,3.5,1.1,rod-shaped,31103.0,1157300
133688.0,HYL7-15,"CCTCC AB 206239, NRRL B-59488",1.0,Pontibacter populi,1-2.2,0.4-0.6,rod-shaped,30161.0,890055
133910.0,LP43,"CCM 8406, MCC 2019",1.0,Pontibacter ramchanderi,2.95,1.15,rod-shaped,30854.0,1179743
3829.0,SRC-1,"DSM 17521, CCTCC AB 207222, CIP 109903, MTCC 7260",1.0,Pontibacter roseus,01-03,0.3-0.5,rod-shaped,31733.0,336989
133191.0,,"KYW1030, KACC 18739, JCM 31319",1.0,Pontibacter rugosus,1.7-1.8,0.5-0.6,rod-shaped,24986.0,1745966
133824.0,GCM0142,"KACC 16448, JCM 17926",1.0,Pontibacter saemangeumensis,1.4,0.7,rod-shaped,30608.0,1084525
159762.0,XAAS-R86,"CCTCC AB 2017165, KCTC 62047",1.0,Pontibacter silvestris,1-1.7,0.6-0.7,rod-shaped,66695.0,2305183
134049.0,ZLD-7,"CCTCC AB 208003, KCTC 23984",1.0,Pontibacter toksunensis,2.1,0.7,rod-shaped,31136.0,1332631
132412.0,,"DSM 100161, KCTC 42944, MCC 2777, NKM 1",1.0,Pontibacter ummariensis,0.8-1.7,0.5-1.0,rod-shaped,44034.0,1610492
133007.0,W14,"DSM 100231, KCTC 42941, MCC 2932",1.0,Pontibacter virosus,1.0-1.6,0.4-0.6,rod-shaped,24987.0,1765052
133530.0,311-10,"CCTCC AB 207200, NRRL B-51335",1.0,Pontibacter xinjiangensis,1.6,0.5,rod-shaped,29351.0,557332
13846.0,CL-GR66,"DSM 18986, KCCM 90028",1.0,Ponticoccus litoralis,1,0.65,ovoid-shaped,32516.0,422297
158575.0,SJ5A-1,"JCM 19520, ACCC 19863",1.0,Ponticoccus marisrubri,0.5-0.7,,coccus-shaped,65281.0,
133880.0,CL-TW6,"KCCM 90105, JCM 18206",1.0,Pontimonas salivibrio,1.5,0.3,rod-shaped,30754.0,1159327
140497.0,2D-4,"KCTC 33576, CFCC 11886",1.0,Populibacterium corticicola,1.2-1.4,0.5-0.8,,43113.0,1812826
5396.0,,"DSM 17193, KCTC 12395, DSW 74",1.0,Porphyrobacter dokdonensis,0.5-2.5,0.4-0.6,ovoid-shaped,31578.0,328225
5394.0,SW-132,"DSM 16220, KCTC 12229",1.0,Porphyrobacter donghaensis,1.7,0.7,,31290.0,267135
12513.0,WAL 1926C,"DSM 23058, ATCC BAA 1629, CCUG 55979",1.0,Porphyromonas bennonis,3.5,0.85,rod-shaped,28930.0,501496
133708.0,M091,"KCTC 23537, JCM 17630",1.0,Postechiella marina,1.75,0.6,rod-shaped,30229.0,943941
12562.0,,"DSM 23384, CCUG 53648, JCM 14753",1.0,Prevotella amnii,1.9,1,rod-shaped,32204.0,419005
133542.0,OMA31,"JCM 15754, CCUG 57723",1.0,Prevotella aurantiaca,1.6,0.65,rod-shaped,29422.0,1236508
12541.0,E 9.33,"DSM 16972, CCUG 50418, JCM 13447",1.0,Prevotella baroniae,1.3,0.6,ovoid-shaped,31472.0,305719
12544.0,"94067913, W3326","JCM 51224, DSM 17361, CCUG 51224",1.0,Prevotella bergensis,0.8-6,0.7-0.8,rod-shaped,31608.0,242750
132987.0,A1336,"DSM 100333, CCOS 902, CCUG 67421, KCTC 15694",1.0,Prevotella colorans,0.9-1.3,0.4-0.6 mm,pleomorphic-shaped,43096.0,1703337
12547.0,,"DSM 18205, JCM 13464, CCUG 58058, CB 7",1.0,Prevotella copri,0.95,0.83,rod-shaped,31995.0,537011
12565.0,,"DSM 22229, JCM 15908, NUM 1903",1.0,Prevotella dentasini,1.5-2.5,0.6-0.8,rod-shaped,29614.0,1236509
12563.0,4052,"DSM 22864, CCUG 56137, JCM 15124",1.0,Prevotella falsenii,1.6,0.65,rod-shaped,28959.0,515414
12560.0,T05-04,"DSM 19854, CCUG 55407, JCM 15637",1.0,Prevotella histicola,0.8-3,0.7,rod-shaped,32539.0,470565
24343.0,"CD3:28, CD3_28","DSM 26989, CCUG 60371, KCTC 15415",1.0,Prevotella jejuni,1.4,0.7,rod-shaped,31117.0,1177574
12557.0,W1609,"DSM 19339, CCUG 54766, JCM 15638",1.0,Prevotella maculosa,2,0.7,rod-shaped,32300.0,439703
12542.0,E 934,"JCM 13450, DSM 16973, CCUG 50419",1.0,Prevotella marshii,1.95,0.4,rod-shaped,31472.0,862515
12564.0,E7.56,"DSM 21469, CCUG 56105, KCTC 15163",1.0,Prevotella micans,3.25,0.7,,28945.0,189723
